"","num","text"
"111008",111008,"FYI Loudoun Prosecutor Buta Biberaj jails victims parents, frees rapists &amp; killer wife-beaters, pockets Soros $$ Terry McAuliffe backs her *RESIGN!* if not, Stand w/ us &amp; Recall her!  Bye   "
"210882",210882,"Virginia mom who survived Maoist China eviscerates school board's critical race theory push  FoxNews"
"74878",74878,"Loudoun County high school students are protesting the Virginia school board’s enabling of sexual assault. 

"
"190016",190016,"""Things Explode at School Board Meeting Over CRT, Arrests Are Made""
Once again, Loudoun County School Board is in the news, and this time it's even more shameful, as they used the cops to disperse the crowd after they were made to feel ""uncomfortable"".
Watch the clips."
"202491",202491,"Loudoun County school board ended public comment. Anti-critical race theory protesters react: "
"163121",163121,"Loudoun Co. (Northern Virginia) case against a lefty school board member is advancing. Circuit Ct Judge denied dismissal &amp; removed Soros funded Commonwealth Attorney!  Parents group: Fight For Schools is spearheading the recall.
Way to go!

  via "
"153435",153435,"This teacher is a real life profile in courage. Our country desperately needs more people with her bravery to stand up to the woke mob.

The pro-CRT Loudoun County School Board on the other hand is an absolute disgrace!!!

"
"201230",201230,"Two arrests made at the Loudoun County, Virginia school board meeting after it was declared an unlawful assembly and some parents here to protest against critical race theory and a transgender policy refused to leave right away CriticalRaceTheory "
"22385",22385,"🚨 New: Loudoun dad alleges MORE school board cover ups: predator xferred from Dominion to Woodgrove; Freedom HS teacher xferred to Belmont Ridge after sexual impropriety w student; Ziegler meeting w Loudoun CA at fundraiser 🚨     "
"25805",25805,"BREAKING: A Loudoun County Circuit Judge has ruled in favor of parents, enjoining the school board’s mandatory mask policy citing “irreparable harm” to students. The judge also ruled that LCPS must allow parents to opt their kids out of mask mandates IMMEDIATELY."
"17235",17235,"🕶️BREAKING REPORT:🕶️ Entire Loudoun County School Board faces November AXING after Virginia's new GOP Governor Glenn Youngkin ORDERED ALL 9 TO FACE THE BALLOT over their CRT and gender lessons spat with worried parents.."
"42689",42689,"NEW - more chaotic theatrics in the Loudoun Co school board meeting. Students whose families oppose face masks flooded into the meeting carrying baskets full of what I’m told are affidavits. Meeting was nearly shutdown, now the parents are demanding a signature on the documents "
"168210",168210,"Sobbing Loudoun County teacher QUITS at school board meeting in protest over CRT lessons as she accuses them of pushing 'highly-politicized agendas on our most vulnerable constituents - the children'
"
"37335",37335,"Students whose families oppose masks arrive at a Loudoun County school board meeting carrying baskets full of affidavits.

"
"179701",179701,"I am now officially collecting signatures for the recall of school board members in Loudoun County. And it feels glorious."
"18145",18145,"The Loudoun County teachers and administrators blindly following the out of control school board defying Youngkin’s EO on student masks need to feel pain. If anyone believes we can take legal action against them directly DM me."
"142579",142579,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"32730",32730,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"18799",18799,". and I are joining Loudoun County parents in their lawsuit against the School Board for ignoring Executive Order Two &amp; denying an ""opt out"" option for parents. 

"
"201441",201441,"Parents protesting against CRT and a transgender policy are arrested after a Loudoun County, Virginia school board meeting was declared an unlawful assembly 
"
"174530",174530,"This teacher is a real life profile in courage. Our country desperately needs more people with her bravery to stand up to the woke mob.

The pro-CRT Loudoun County School Board on the other hand is an absolute disgrace!!!

"
"121577",121577,"Loudoun County School Board was arresting parents while protecting a child rapist"
"78754",78754,"Loudoun County parents and residents confront school board after emails surface indicating Superintendent Scott Ziegler was aware of a sexual assault that occurred in a school bathroom, despite his denial past meetings.

The rot runs deep.

"
"164983",164983,"Virginia resident  just absolutely tore into the Loudoun County school board for indoctrinating students with their transgender policy:

""Let me get to the point: You are all child abusers."" "
"189065",189065,"Two arrests made at the Loudoun County, Virginia school board meeting after it was declared an unlawful assembly and some parents here to protest against critical race theory and a transgender policy refused to leave right away CriticalRaceTheory "
"136233",136233,"Man arrested at Loudoun County school board meeting says officials covered up his daughter's rape "
"184854",184854,"Loudoun County school board member Beth Barts endorses children reading &amp; having available in the school library, the dark, violent &amp; sexually explicit book .Murdertrending.  "
"118042",118042,"NEW: A Loudoun County school board member just announced their resignation."
"24090",24090,"GOVERNOR YOUNGKIN RAN FOR OFFICE PROMISING NO CRT IN SCHOOLS. WOULDN'T WANT THE WHITE CHILDREN FEELING GUILTY THINKING WHITE PEOPLE ARE EVIL?

IT'S TIME TO START BOYCOTTING.

LEESBURG POLICE "
"6367",6367,"Loudoun School Board Was Informed Of Alleged Sexual Assault The Day It Happened: Report  "
"192146",192146,"Virginia’s Loudoun County School Board silences public comment after audience sings Star Spangled Banner 

This is America 
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 "
"128989",128989,"Loudoun County parents hammer school board, Justice Department as controversies cascade "
"33317",33317,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"183969",183969,"Chaos erupts at Loudoun County school board meeting over trans students rights proposal "
"191732",191732,"Update: former VA state senator Dick Black spoke out against critical race theory in the board meeting and crowd couldn’t stay silent. The Loudoun Co school board said if there were eruptions like this they’d end public comment "
"28909",28909,"Virginia Attorney General Jason Miyares is joining the lawsuit of Loudoun County parents against the school board.

They claim the school board is ignoring the executive order and preventing an ""opt-out"" option for mask mandates.  "
"162147",162147,"Forget about the recall... Every school board member and the LCPS superintendent should resign their positions immediately.

Loudoun County Schools Tried To Conceal Sexual Assault Against Daughter In Bathroom, Father Says "
"171849",171849,"The Loudoun public school system has been the subject of widespread criticism recently for imposing the CRT philosophy on students and teachers alike.

"
"44561",44561,"""The Loudoun County Superintendent even requested undercover police officers to monitor parents who are expressing disagreement at school board meetings.""
 
 on CriticalRaceTheory &amp; Loudoun County's school sexual assault scandal.
 
🔴WATCH:  "
"99923",99923,"Today I called for an immediate investigation into the Loudoun County School Board for endangering our students and violating the Virginia Constitution. When I’m governor, we’re going to take immediate action in regards to our kids’ safety. Our kids cannot wait. "
"69728",69728,"""The school board, they knew, they were complicit in it. [Superintendent Scott] Ziegler knew, he was complicit in it,"" said  following reports that Loudoun County school board members were aware and lied about the rape of a student, on Wednesday's ""Wake Up America"". "
"155603",155603,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"29784",29784,"🚨 New: Loudoun dad alleges MORE school board cover ups: predator xferred from Dominion to Woodgrove; Freedom HS teacher xferred to Belmont Ridge after sexual impropriety w student; Ziegler meeting w Loudoun CA at fundraiser 🚨     "
"166141",166141,". SLAMS Loudoun County School Board: “You are predators. I can see why you try to stop us from speaking, you know that your ideas are indefensible. You silence the opposing side because you have no argument.” "
"8642",8642," Mr AG, Happy New Year, please watch over us in Loudoun County where we have a weak on crime CA and a school board that hides rapes and sexual assaults."
"95681",95681,"Superintendent in Virginia’s Loudoun Co alerted school board day of assault in gender fluid bathroom | Just The News "
"16246",16246,"🕶️BREAKING REPORT:🕶️ Entire Loudoun County School Board faces November AXING after Virginia's new GOP Governor Glenn Youngkin ORDERED ALL 9 TO FACE THE BALLOT over their CRT and gender lessons spat with worried parents.."
"16764",16764,"Sorry, but McAuliffe saying that parents shouldn't be in charge of their children's education and the Loudoun County school board lying to parents about sexual assaults in bathrooms isn't ""trumped up cultural wars"" "
"22029",22029,"Sorry, but McAuliffe saying that parents shouldn't be in charge of their children's education and the Loudoun County school board lying to parents about sexual assaults in bathrooms isn't ""trumped up cultural wars"" "
"141552",141552,"Do you know what wasn't covered by ABC, CBS, and NBC tonight? The Loudoun County School Board allegedly covering up the rape of a 14-year-old girl to pass a transgender bathroom policy: "
"183317",183317,"  will you stand up for the parents of Loudoun County and the entire Commonwealth? If you want to win, you take this corrupt school board head on. Law abiding citizens are being silenced. Take action to help these parents or no vote from my family and friends."
"108464",108464,"Today I called for an immediate investigation into the Loudoun County School Board for endangering our students and violating the Virginia Constitution. When I’m governor, we’re going to take immediate action in regards to our kids’ safety. Our kids cannot wait. "
"166390",166390,". SLAMS Loudoun County School Board: “You are predators. I can see why you try to stop us from speaking, you know that your ideas are indefensible. You silence the opposing side because you have no argument.” "
"94499",94499,"They KNEW! Damning email shows Loudoun County School Board WAS informed of sexual assault of freshman girl THE DAY it happened  via "
"177114",177114,"'s account is temporarily unavailable because it violates the Twitter Media Policy. Learn more."
"137736",137736,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"21126",21126,"Multiple sources have confirmed that a special grand jury has been convened re: the investigation into the Loudoun County School Board's handling of multiple sexual assaults in LCPS high schools loudoun lcps"
"110586",110586,"This calls for a full investigation of the school, school board, superintendent and Prosecutor:  Loudoun County prosecutor who sought to jail father of girl allegedly raped at school tied to Soros, McAuliffe  FoxNews"
"4061",4061,"Wherein the  accuses THOUSANDS of parents in Loudoun County of supporting ""Jim Crow effort"" at removing elected officials that helped cover up a sexual assault and stood by and did and said nothing while parents were targeted by activists

"
"194641",194641,"Parents in Loudoun county showed up in force to stand up against the ""wokest school board in America"" trying to force a left-wing agenda into schools. "
"30297",30297,"BREAKING: A Loudoun County Circuit Judge has ruled in favor of parents, enjoining the school board’s mandatory mask policy citing “irreparable harm” to students. The judge also ruled that LCPS must allow parents to opt their kids out of mask mandates IMMEDIATELY."
"130117",130117,"The Loudoun County School Board covered up a child rape bc it wasn't politically correct 

Then he raped another victim at his next school

Arrest them all"
"7496",7496,"The Loudoun county school board is out of control. Basically threatening kids with suspension if they do not wear masks in schools. We need to make sure that there are consequences for these people."
"146618",146618,"Victory For Parents As Judge Sides With Loudoun Parents, Against Prosecutor On School Board Recall👍

Soros again!!! 
Biberaj won election in 2019 by a 1% margin after receiving $800,000 in outside help from George Soros. Her opponent spent $150,000

 "
"81322",81322,"Loudoun dad calmly told the school board to resign tonight and “end the mockery you have brought on this great county” "
"120362",120362,"American reality:
-Trans boy rapes girl in school bathroom
-Dad arrested at school board meeting for talking about it
-Gag order placed on dad
-Dad used as example of ""domestic terrorism"" by DOJ
-Trans boy allowed back to school
-Promptly rapes again

"
"29437",29437,"BREAKING: A Loudoun County Circuit Judge has ruled in favor of parents, enjoining the school board’s mandatory mask policy citing “irreparable harm” to students. The judge also ruled that LCPS must allow parents to opt their kids out of mask mandates IMMEDIATELY."
"124226",124226,"Loudoun County School Board Member Resigns Following Daily Wire Investigation "
"164333",164333,"A victory for ""domestic terrorist"" parents vs. hostile prosecutor as judge allows Loudoun school board recall to proceed, replaces far-left prosecutor with special prosecutor. Sided w/ parents on all 3 motions 

"
"173128",173128,"Sobbing Loudoun County teacher QUITS at school board meeting in protest over CRT lessons as she accuses them of pushing 'highly-politicized agendas on our most vulnerable constituents - the children'
"
"120368",120368,"The FBI, if it did it’s job, would have the entire Loudoun County school board in the office for an interview. Instead AG Garland threatened parents protesting against sexual assault against children. It’s rotten all the way down."
"200737",200737,"Parents protesting against CRT and a transgender policy are arrested after a Loudoun County, Virginia school board meeting was declared an unlawful assembly 
"
"97625",97625,"We need an immediate investigation into the Loudoun County School Board for their gross negligence.

They had a duty of care and they failed. They not only covered up a heinous crime, they enabled an offender being prosecuted of sexual assault to attack again. "
"211470",211470,"Parents get loud in Loudoun County. 
For four hours, they took turns telling the school board to stop ""instilling progressive Left ideas on our children."" "
"117182",117182,"Loudoun County School Board Member Resigns Following Daily Wire Investigation  "
"145497",145497,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"85474",85474,"Youngkin demands resignations from Loudoun County School Board in wake of bombshell email "
"112242",112242,"Horror: Father accuses Loudoun school board of covering up sexual assault "
"135502",135502,"Loudoun County School Board Blasted Over Daily Wire Sex Assault Report, Parents Demand Resignations  "
"4892",4892,"Sorry, but McAuliffe saying that parents shouldn't be in charge of their children's education and the Loudoun County school board lying to parents about sexual assaults in bathrooms isn't ""trumped up cultural wars"" "
"7365",7365,"Scott Smith, the father of one victim, told the court “We were accused of lying about this sexual assault for political gain. That didn’t go over well with half of Loudoun County,"" as liberals demonized him as an ignorant bigot for being angry at a school board meeting."
"185304",185304,"This elementary school teacher in VA was placed on leave after he gave this amazing speech to the Loudoun County school board refusing to ""affirm that a biological boy can be a girl and vice versa"". His name is Byron Tanner Cross and he’s a hero for standing up for kids. "
"68716",68716,"Corporate media spent a week screaming that the Loudoun County school board silencing a rape &amp; allowing a rapist to go to another school &amp; commit another assault while pending a criminal trial was a nothingburger, but a single pilot saying ""Let's Go Brandon"" warrants AP coverage"
"16781",16781,"Loudoun County School Board elections moved up a year by Youngkin  via "
"132021",132021,"Loudoun County Public Schools claims the school board did not know details of horrific sexual abuse allegations "
"1402",1402,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"81008",81008,"Loudoun dad calmly told the school board to resign tonight and “end the mockery you have brought on this great county” "
"95244",95244,"A boy in a skirt violently raped a 9th-grade girl in a school bathroom. Loudoun County Superintendent  lied and covered it up. The school board then had the father of the girl arrested. 

All because allowing boys to use the girl's bathroom meant that much to them. "
"194317",194317,"A massive parent protest occurred in Virginia on Tuesday. Loudoun County School Board is debating a new transgender policy. NTD heard from parents and students.

"
"49597",49597,"The Loudoun County School board is a perfect example of what happens when leaders choose wokeness over what is right."
"14018",14018,"Loudoun Schools Superintendent who denied having record of female student being raped REPORTED the assault to the board on the day of the attack "
"57625",57625,"A group of Loudoun County parents have gathered the required number of signatures to both file a petition for the removal of the school board chairwoman and initiate legal challenges to oust three other board members, the Washington Examiner has reported.  "
"209371",209371,"Eighth-grade girl blasts school board for policy that would allow 'boys into girls' locker rooms' | Fox News "
"12098",12098,"NEW: The father of the young girl raped in a Loudoun County school calls for the National School Board Association to retract/apologize for suggesting he was a domestic terrorist. "
"63121",63121,"I want to thank the Loudoun County school board. None of this would have been possible without you. Tonight’s result was your handiwork. Congratulations!"
"154450",154450,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"183334",183334,"My campaign is about issues and CriticalRaceTheory is a troubling issue we must stop. I was the only candidate to speak out against this earlier this week at the Loudoun County School Board meeting. Election2021 "
"82587",82587,"Parents and residents of Loudoun County speaking at tonight’s school board meeting are carrying signs featuring Superintendent Scott Ziegler’s email indicating he was aware of a sexual assault in a school bathroom, contrary to his statements in past meetings "
"202601",202601,"Loudoun County School Board— at the center of controversy surrounding CRT— just silenced parents delivering scathing speeches against them by suddenly ending the public comment portion of the meeting set to continue for hours.

 "
"125674",125674,"I HAVE GREAT NEWS!

Loudoun County School Board Member, Beth Barts, is resigning.

Barts was part of a Facebook group that encouraged teachers to post the personal info. of parents who oppose Critical Race Theory.

Thank you to every parent who gathered signatures for her recall."
"206289",206289,"UPDATE: Parents protesting CRT at Loudoun County School Board meeting declared an unlawful assembly, at least two arrests made when some refused to leave right away 

 "
"194444",194444,"WATCH! Loudoun, Virginia School Board Has Constituents Arrested For Not Leaving Meeting &amp; Protesting Them "
"14453",14453,"The school board of Loudoun County, Virginia, is under investigation by a grand jury over its handling of a sexual assault case at a school last year.

 "
"48336",48336,"Loudoun County school board member calls for superintendent to resign for pushing trans policy

"
"12151",12151,"Multiple sources have confirmed that a special grand jury has been convened re: the investigation into the Loudoun County School Board's handling of multiple sexual assaults in LCPS high schools loudoun lcps"
"150400",150400,"American reality:
-Trans boy rapes girl in school bathroom
-Dad arrested at school board meeting for talking about it
-Gag order placed on dad
-Dad used as example of ""domestic terrorism"" by DOJ
-Trans boy allowed back to school
-Promptly rapes again

"
"45414",45414,"SCHOOL BOARD GETTING SERVED: A Loudoun County parent at the meeting tonight texted me this picture of containers full of legal documents - affidavits - in regards to the controversial mask mandate. The father tells me he’s waiting for the sheriff’s office to arrive. "
"163960",163960,"Kudos to my partner David Warrington, Counsel Stuart McCommas, &amp; support team on HUGE court victory today for 's group seeking to recall a Loudon County school board member. We intervened, got prosecutor disqualified &amp; defeated motion to dismiss! "
"32459",32459,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"128714",128714,"This is how the left views the issues. That’s why Loudoun school board will let kids get raped. They don’t care - as long as it’s Christian or conservative children being harmed. These people have no morals. Always remember this. "
"147223",147223,"BREAKING: Loudoun County father who was dragged out of woke school board meeting reveals his daughter was 'raped' in the girls' bathroom by a 'skirt-wearing' male student who was arrested for assaulting a SECOND girl months later - but staff did nothing
"
"117552",117552,"Loudoun County School Board was arresting parents while protecting a child rapist"
"101091",101091,"The FBI, if it did it’s job, would have the entire Loudoun County school board in the office for an interview. Instead AG Garland threatened parents protesting against sexual assault against children. It’s rotten all the way down."
"33168",33168,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"43909",43909,"Students whose families oppose masks arrive at a Loudoun County school board meeting carrying baskets full of affidavits.

"
"33499",33499,"The note was sent to Loudoun County school board member Brenda Sheridan's child. The family read it around Christmas. It threatened death unless Brenda quit.
We documented &gt;200 threats &amp; harassing messages to US school board members   👇  "
"167322",167322,"Virginia resident  just absolutely tore into the Loudoun County school board for indoctrinating students with their transgender policy:

""Let me get to the point: You are all child abusers."" "
"55471",55471,"'These Loudoun County politicians haven’t learned a thing’: Parents respond to a school board supervisor branding concerned parents as ‘alt-right.’ "
"210119",210119,"Virginia mom who survived Maoist China eviscerates school board's critical race theory push  FoxNews"
"44282",44282,"Critical gender theory is a mistake: Loudoun County school board's cover up of school rape is proof of woke disaster

My latest for ⁦⁩  "
"128190",128190,"The Loudoun County School Board covered up a child rape bc it wasn't politically correct 

Then he raped another victim at his next school

Arrest them all"
"12540",12540,"UPDATE: After fierce debate, the Virginia House of Delegates APPROVES Gov. Glenn Youngkin's amendment to put all nine Loudoun County school board members on the ballot this November  "
"12120",12120,"  ""Don't be surprised when you low-IQ, poorly educated, and morally bankrupt pinko traitors are dragged from your beds in the middle of the night and hanged by the neck until dead by the righteously angry parents of your community.”

Parent over time limit?

"
"97576",97576,"The Loudoun school board member who resigned will be replaced by a person selected by her board colleagues, not voters."
"205193",205193,"Here’s the scene in Ashburn, VA this afternoon as parents protest against critical race theory before the Loudoun County school board meets. Scott Mineo, founder of  Parents Against CRT, talking to a crowd of about 200: "
"52354",52354," Are you really that eager to protect Terry McAuliffe and shame ""right wing"" parents who were protesting the corrupt Loudoun school board for covering up a rape-rape?"
"95026",95026,"A boy in a skirt violently raped a 9th-grade girl in a school bathroom. Loudoun County Superintendent  lied and covered it up. The school board then had the father of the girl arrested. 

All because allowing boys to use the girl's bathroom meant that much to them. "
"104274",104274,"Glenn Youngkin: ""I am calling for an immediate investigation into the Loudoun County School Board for their gross negligence."""
"130413",130413,"The Loudoun County School Board covered up a child rape bc it wasn't politically correct 

Then he raped another victim at his next school

Arrest them all"
"156343",156343,"  Instead he decided to campaign with Astroturf RINO Crenshaw, RINO Loudoun Sheriff Mike Chapman (the feckless school board there caved to him when they ended meeting). Our AG nominee astroturfed with the wrong candidate for VA02 (US House) The right one is !"
"103430",103430,".: ""The problems with the Loudoun County School Board are not limited to one member...Several members of the school board have refused to work with parents that have been politically driven with their political agendas."" 

  "
